,0,1,2,3
3129,ENSG00000186092,1,65419,71585
4897,ENSG00000284733,1,450740,451678
4963,ENSG00000284662,1,685716,686654
2733,ENSG00000187634,1,923923,944575
2593,ENSG00000188976,1,944203,959309
3646,ENSG00000187961,1,960584,965719
2594,ENSG00000187583,1,966482,975865
4982,ENSG00000187642,1,975198,982117
2596,ENSG00000188290,1,998962,1000172
2597,ENSG00000187608,1,1001138,1014540
2600,ENSG00000188157,1,1020120,1056118
2725,ENSG00000237330,1,1070967,1074306
2726,ENSG00000131591,1,1081818,1116361
5300,ENSG00000162571,1,1173880,1197936
4463,ENSG00000186891,1,1203508,1206592
4675,ENSG00000186827,1,1211326,1214153
4464,ENSG00000078808,1,1216931,1232031
4465,ENSG00000176022,1,1232237,1235041
4466,ENSG00000184163,1,1242446,1246722
4468,ENSG00000160087,1,1253909,1273864
4470,ENSG00000162572,1,1280436,1292029
4485,ENSG00000131584,1,1292390,1309609
5301,ENSG00000169972,1,1308597,1311677
4486,ENSG00000127054,1,1311585,1324687
4489,ENSG00000224051,1,1324756,1328896
4490,ENSG00000169962,1,1331280,1335314
4491,ENSG00000107404,1,1335276,1349418
4493,ENSG00000162576,1,1352689,1361777
4494,ENSG00000175756,1,1373730,1375207
3641,ENSG00000221978,1,1385711,1399335
2142,ENSG00000242485,1,1401909,1407293
2921,ENSG00000235098,1,1418420,1421769
5303,ENSG00000205116,1,1425871,1430255
2147,ENSG00000179403,1,1434861,1442882
2148,ENSG00000215915,1,1449689,1470163
5422,ENSG00000160072,1,1471765,1497848
3175,ENSG00000197785,1,1512162,1534685
5424,ENSG00000205090,1,1534778,1540624
3176,ENSG00000160075,1,1541673,1574863
2208,ENSG00000228594,1,1598012,1600135
3178,ENSG00000197530,1,1615454,1630605
2211,ENSG00000189409,1,1632163,1635263
2526,ENSG00000248333,1,1635225,1659012
2213,ENSG00000189339,1,1659529,1692795
2216,ENSG00000008128,1,1702379,1724357
2219,ENSG00000008130,1,1751232,1780457
4939,ENSG00000078369,1,1785285,1892292
3898,ENSG00000169885,1,1915108,1917296
2220,ENSG00000178821,1,1917590,1919279
3519,ENSG00000142609,1,1921951,2003837
3086,ENSG00000187730,1,2019329,2030758
3893,ENSG00000067606,1,2050411,2185395
5025,ENSG00000162585,1,2184461,2212720
5029,ENSG00000157933,1,2227388,2310213
199,ENSG00000116151,1,2321253,2391707
44,ENSG00000157916,1,2391775,2405442
4,ENSG00000157911,1,2403964,2413797
15,ENSG00000149527,1,2425980,2505532
45,ENSG00000157881,1,2508537,2526597
62,ENSG00000197921,1,2528745,2530263
2931,ENSG00000157873,1,2555639,2565382
1746,ENSG00000157870,1,2586491,2591469
34,ENSG00000142606,1,2590639,2633016
4668,ENSG00000215912,1,2636986,2801693
3233,ENSG00000169717,1,3021467,3022903
2,ENSG00000142611,1,3069168,3438621
4280,ENSG00000130762,1,3454665,3481113
4290,ENSG00000162591,1,3487951,3611508
4283,ENSG00000158109,1,3625015,3630127
4284,ENSG00000116213,1,3630767,3652761
4285,ENSG00000078900,1,3652516,3736201
32,ENSG00000162592,1,3746460,3771645
2514,ENSG00000235169,1,3772749,3775982
1989,ENSG00000130764,1,3778559,3796498
2022,ENSG00000116198,1,3812086,3857396
2023,ENSG00000169598,1,3857267,3885429
2682,ENSG00000198912,1,3889125,3900293
104,ENSG00000196581,1,4654609,4792534
57,ENSG00000131697,1,5862811,5992473
5406,ENSG00000069424,1,5990927,6101193
5286,ENSG00000116254,1,6101787,6180321
5288,ENSG00000116251,1,6185020,6209389
5290,ENSG00000158286,1,6205475,6221299
5291,ENSG00000116237,1,6221193,6235972
5294,ENSG00000173673,1,6244179,6245578
5293,ENSG00000158292,1,6247353,6261098
5332,ENSG00000097021,1,6264269,6393767
5295,ENSG00000069812,1,6412418,6424670
5333,ENSG00000187017,1,6424776,6461367
2122,ENSG00000215788,1,6460786,6466175
2136,ENSG00000171680,1,6467122,6520074
1870,ENSG00000162408,1,6521347,6554513
1872,ENSG00000173662,1,6555307,6579755
1873,ENSG00000204859,1,6579994,6589280
3823,ENSG00000162413,1,6590724,6614607
3824,ENSG00000116273,1,6613731,6624030
3949,ENSG00000041988,1,6624868,6635586
3864,ENSG00000007923,1,6634168,6701924
5413,ENSG00000171735,1,6785454,7769706
